States,%Children,%Adults,%Colleges,%Poverty,%FoodInsecure
Alabama,0.173,0.361,0.8421052632,0.168,0.17
Alaska,0.154,0.305,0.4,0.109,0.129
Arizona ,0.121,0.314,0.8333333333,0.14,0.131
Arkansas,0.202,0.374,0.46875,0.172,0.173
California,0.171,0.262,0.9520547945,0.128,0.108
Colorado,0.109,0.238,0.6071428571,0.096,0.099
Connecticut,0.133,0.291,0.3333333333,0.104,0.119
Delaware,0.16,0.344,0.375,0.125,0.126
Florida,0.178,0.27,0.875,0.136,0.13
Georgia,0.149,0.331,0.4769230769,0.143,0.125
Hawaii,0.111,0.336,0.2,0.088,0.112
Idaho,0.121,0.25,0.8571428571,0.118,0.108
Illinois,0.149,0.295,0.9661016949,0.121,0.101
Indiana,0.167,0.316,0.2333333333,0.131,0.132
Iowa,0.153,0.353,0.8421052632,0.112,0.097
Kansas,0.106,0.339,0.9032258065,0.12,0.127
Kentucky,0.238,0.352,0.3333333333,0.169,0.148
Louisiana,0.201,0.365,0.625,0.186,0.161
Maine,0.132,0.359,0.6666666667,0.116,0.129
Maryland,0.176,0.317,0.8275862069,0.09,0.11
Massachusetts,0.118,0.323,0.7586206897,0.1,0.089
Michigan,0.173,0.252,2.333333333,0.141,0.136
Minnesota,0.099,0.301,0.7837837838,0.096,0.082
Mississippi,0.223,0.408,1,0.197,0.187
Missouri,0.163,0.348,0.52,0.132,0.133
Montana,0.106,0.283,0.5,0.13,0.103
Nebraska,0.115,0.341,0.8,0.11,0.123
Nevada,0.129,0.306,0.1153846154,0.129,0.128
New Hampshire,0.137,0.318,0.4166666667,0.076,0.093
New Jersey,0.14,0.238,0.8484848485,0.095,0.087
New Mexico,0.152,0.317,0.4074074074,0.195,0.151
New York,0.107,0.271,0.9466666667,0.136,0.111
North Carolina,0.161,0.34,0.4324324324,0.14,0.14
North Dakota,0.131,0.348,1,0.107,0.068
Ohio,0.157,0.348,0.5,0.139,.139
Oklahoma,0.188,0.368,0.8518518519,0.156,0.151
Oregon,0.129,0.29,2.571428571,0.126,0.119
Pennsylvania,0.145,0.332,0.9655172414,0.122,0.109
Rhode Island,0.175,0.3,1,0.129,0.114
South Carolina,0.221,0.354,0.5625,0.153,0.118
South Dakota,0.117,0.33,0.75,0.131,0.108
Tennessee,0.204,0.365,0.8636363636,0.153,0.14
Texas,0.173,0.34,0.72,0.149,0.15
Utah,0.096,0.292,0.8888888889,0.09,0.11
Vermont,0.14,0.266,0.2352941176,0.11,0.113
Virginia,0.13,0.319,0.5128205128,0.107,0.099
Washington,0.119,0.283,0.6818181818,0.103,0.107
West Virginia,0.196,0.397,0.25,0.11,0.139
Wisconsin,0.142,0.342,0.5483870968,0.111,0.089
Wyoming,0.137,0.297,1,0.118,0.122